               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11746,            0.040552,            0.061563,            0.010056,            0.021104,           0.0022458,          0.00078544,             0.11424,            0.035636,            0.061881,             0.00026,             0.00026,             0.09766
                   1,             0.11127,             0.03907,            0.060116,            0.007912,            0.032888,           0.0026004,          0.00079851,              0.1066,            0.036912,            0.061087,          0.00052995,          0.00052995,             0.09523
                   2,             0.10414,            0.042092,            0.058149,           0.0095223,            0.039308,           0.0043051,           0.0012034,             0.09998,             0.03919,            0.058515,          0.00079972,          0.00079972,              0.0928
                   3,            0.097915,            0.044798,            0.056051,            0.014431,            0.058427,           0.0069313,           0.0016386,             0.09608,            0.039907,            0.055893,           0.0010692,           0.0010692,            0.090369
                   4,            0.092667,            0.046531,            0.053646,            0.019959,             0.17621,            0.021377,           0.0054637,            0.091032,            0.041516,            0.053388,           0.0013381,           0.0013381,            0.087938
                   5,            0.087305,            0.048431,            0.050864,             0.26084,             0.14128,            0.068438,            0.023586,            0.086338,             0.04264,            0.049785,           0.0016065,           0.0016065,            0.085506
                   6,            0.081188,            0.049566,            0.047963,              0.2817,             0.11201,            0.087409,            0.027053,            0.081375,            0.043197,            0.045329,           0.0018741,           0.0018741,            0.083074
                   7,            0.077379,            0.047445,            0.045154,             0.20858,             0.24085,             0.17499,            0.040685,            0.076453,            0.042972,            0.041851,           0.0021408,           0.0021408,            0.080641
                   8,            0.073481,            0.050844,            0.042333,             0.10686,             0.34782,              0.1477,            0.046235,            0.074006,            0.043145,            0.038092,           0.0024064,           0.0024064,            0.078206
                   9,            0.071942,            0.046282,            0.039799,             0.12101,             0.33913,             0.17584,            0.050141,            0.072456,            0.042536,            0.035478,           0.0026709,           0.0026709,            0.075771
                  10,            0.068606,            0.048672,            0.036361,             0.68194,             0.17728,             0.12853,            0.044823,            0.071767,             0.04255,            0.033114,           0.0029341,           0.0029341,            0.073334
                  11,            0.068058,            0.047096,            0.035968,             0.72895,             0.17026,             0.13955,            0.041397,            0.067342,            0.042774,            0.031545,           0.0031959,           0.0031959,            0.070896
                  12,            0.066384,            0.043828,            0.034208,             0.41083,             0.22744,             0.14386,            0.051398,            0.069226,            0.040522,            0.029978,            0.003456,            0.003456,            0.068456
                  13,            0.066559,            0.044031,            0.032802,             0.75852,             0.20668,             0.20005,             0.07375,            0.065315,            0.040466,            0.028537,           0.0037144,           0.0037144,            0.066014
                  14,            0.066355,            0.044632,            0.031685,             0.75154,              0.2033,             0.20239,            0.072402,              0.0655,            0.040494,            0.027935,            0.003971,            0.003971,            0.063571
                  15,            0.065339,            0.041144,            0.030105,              0.7726,             0.21291,             0.20754,             0.06054,            0.067538,            0.038636,            0.026505,           0.0042256,           0.0042256,            0.061126
                  16,            0.065404,            0.043377,            0.030762,             0.72739,             0.22444,              0.1797,            0.060946,            0.065981,            0.038492,             0.02539,           0.0044781,           0.0044781,            0.058678
                  17,            0.061216,            0.041037,            0.028345,             0.37407,             0.35493,             0.24309,            0.084396,            0.062335,            0.038537,            0.024795,           0.0047283,           0.0047283,            0.056228
                  18,             0.06536,            0.041396,            0.027455,             0.35687,             0.39335,             0.23124,            0.080167,            0.067137,            0.037725,            0.023719,           0.0049762,           0.0049762,            0.053776
                  19,            0.066283,             0.04417,            0.027379,             0.16292,             0.51475,             0.24486,            0.081107,            0.066264,            0.038377,            0.023163,           0.0052215,           0.0052215,            0.051322
                  20,            0.062119,            0.040548,            0.025928,             0.18828,             0.49207,             0.27517,            0.080919,            0.066702,            0.037456,            0.021654,           0.0054643,           0.0054643,            0.048864
                  21,            0.063726,             0.03786,            0.024418,             0.39021,             0.39995,             0.25144,            0.075237,            0.061838,            0.037829,            0.020947,           0.0057042,           0.0057042,            0.046404
                  22,            0.060517,            0.041021,             0.02371,             0.35775,             0.42906,             0.29989,             0.10169,            0.063226,            0.037538,            0.021029,           0.0059414,           0.0059414,            0.043941
                  23,            0.060803,             0.04288,            0.025785,             0.38773,             0.43489,             0.27433,            0.095631,            0.060405,            0.038942,             0.01931,           0.0061755,           0.0061755,            0.041475
                  24,            0.062702,             0.03791,            0.022882,             0.36759,              0.4023,             0.30047,            0.094556,            0.063782,            0.036413,            0.019065,           0.0064065,           0.0064065,            0.039007
                  25,            0.058983,            0.038196,            0.022507,             0.39119,             0.39129,             0.27152,             0.06979,            0.067156,            0.035745,            0.019024,           0.0066343,           0.0066343,            0.036534
                  26,            0.063495,            0.038357,            0.021472,             0.39107,             0.46782,             0.31144,             0.11089,            0.061663,            0.037373,            0.018809,           0.0068588,           0.0068588,            0.034059
                  27,            0.058601,             0.03922,             0.02075,             0.39602,             0.36992,             0.26791,            0.099938,            0.060146,            0.037609,            0.018624,           0.0070799,           0.0070799,             0.03158
                  28,            0.059809,            0.040386,            0.021853,             0.40202,              0.4226,             0.31235,             0.11341,            0.062617,            0.036414,            0.017195,           0.0072974,           0.0072974,            0.029097
                  29,             0.06087,            0.036923,            0.021251,             0.52334,             0.37789,             0.29147,             0.11257,            0.061456,            0.035958,            0.018034,           0.0075112,           0.0075112,            0.026611
                  30,            0.060616,            0.036607,             0.02015,             0.56204,             0.38009,             0.31624,             0.13104,            0.059385,            0.037213,             0.01779,           0.0077214,           0.0077214,            0.024121
                  31,            0.058098,            0.037246,            0.020532,             0.42936,             0.41313,             0.27127,            0.080595,            0.062033,            0.037143,            0.016403,           0.0079276,           0.0079276,            0.021628
                  32,            0.061128,            0.036576,            0.020024,             0.51396,             0.38745,             0.27744,            0.086068,            0.063406,            0.037209,            0.016207,           0.0081299,           0.0081299,             0.01913
                  33,            0.055583,            0.036677,            0.018968,             0.35335,             0.47834,             0.27866,              0.1059,            0.061799,            0.037413,            0.015938,           0.0083282,           0.0083282,            0.016628
                  34,            0.055617,             0.03767,            0.017847,             0.41712,             0.42016,              0.2846,             0.10764,            0.062123,            0.035931,            0.015348,           0.0085224,           0.0085224,            0.014122
                  35,            0.058851,            0.036319,            0.019829,              0.4504,             0.40746,             0.31731,              0.1215,            0.064787,            0.035177,            0.015652,           0.0087124,           0.0087124,            0.011612
                  36,            0.061764,            0.035999,            0.017574,             0.41964,             0.34874,             0.29661,              0.1007,            0.063502,            0.037524,            0.015739,            0.008898,            0.008898,            0.009098
                  37,            0.059877,            0.035694,            0.017902,             0.53208,             0.29675,             0.32731,             0.13338,            0.056914,            0.040223,            0.018252,           0.0088579,           0.0088579,           0.0088579
                  38,             0.05737,            0.036312,            0.017917,             0.50284,             0.42897,             0.36732,             0.13067,            0.061636,            0.036353,            0.016079,           0.0088579,           0.0088579,           0.0088579
                  39,            0.053997,            0.037962,            0.016378,             0.49276,             0.38336,             0.34109,             0.11452,            0.060098,            0.038914,             0.01631,           0.0087987,           0.0087987,           0.0087987
                  40,            0.055099,            0.035225,            0.015977,             0.34912,             0.40508,             0.27952,            0.097754,            0.059293,            0.036613,            0.016399,           0.0087382,           0.0087382,           0.0087382
                  41,            0.049801,            0.036306,            0.016096,             0.42428,             0.45224,             0.40277,             0.18249,            0.057892,            0.035469,            0.015545,           0.0086765,           0.0086765,           0.0086765
